Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
ACTR6,6,-12.986288710826052,1.3260233750473847e-261,1.941199997115664e-259
ACTR8,6,-8.50610055239632,3.961577683575516e-62,5.944772950683592e-61
ACTRT1,6,-1.0770158102404923,0.1440815544138977,0.3723340996071541
ACTRT2,6,1.4364435288026856,0.9520361114646156,0.9832814042788189
ACTRT3,3,1.1557175146199001,0.9001402215149055,0.9548049537782546
ACVR1,6,-3.6957617426636,0.0027008559911319385,0.017135478957541094
ACVR1B,6,2.156257180810308,0.994001404583834,1.0
ACVR1C,6,-0.23469989763341764,0.3553892152128333,0.6203459689322756
ACVR2B,6,-1.0522623232003756,0.14841748334367372,0.37940431035066924
ACY1,6,-4.06575620606615,0.0014134089836322988,0.009849506961750748
ACY3,6,-0.21994476639064783,0.3607798214991925,0.6244954321480815
ACYP1,5,-1.1847880968507536,0.12633051645419122,0.3403628363854721
ADA,6,-0.13804630118038064,0.3922352378553154,0.6482682238703846
ADA2,6,-1.8892529916017333,0.049740709624653365,0.17850474746904385
ADAD2,6,0.4010477066796066,0.637877643668816,0.8256119614343014
ADAL,6,-0.6301529897111929,0.2377117375501112,0.5003825474200464
ADAM10,6,-2.3290072006464184,0.024865248676299856,0.10497378544929938
ADAM11,6,-1.841750167555465,0.0532426292623006,0.18690434796236574
ADAM12,6,0.14532206080205434,0.5179585857018575,0.7449828836085226
ADAM15,6,0.898225823452897,0.8281848593973948,0.9195864776154559
ADAM15-EFNA4,6,0.898225823452897,0.8281848593973948,0.9195864776154559
ADAM17,6,-0.19899352925662875,0.3685793464407826,0.6312160852434304
ADAM18,6,-1.6144641165745555,0.07262184699328443,0.23291554075434603
ADAM19,6,-1.1566475259800841,0.1307907218181517,0.3490637454817194
ADAM2,6,-0.49987924093527486,0.27165650189654145,0.5375169067307465
ADAM20,6,0.6121587097641487,0.7271041054538869,0.8729243464858701
ADAM21,6,0.22126046136514205,0.5540450083799822,0.7690399986384034
ADAM22,6,-0.3993719862656925,0.3007039167748068,0.5664675919569637
